game_id,season,week,home_team,away_team,home_points,away_points,is_mw_game,market_spread_home,actual_margin,ridge_spread_home,ridge_edge,ridge_lean,ridge_is_bet,ridge_result,xgb_spread_home,xgb_edge,xgb_lean,xgb_is_bet,xgb_result,gamma_spread_home,gamma_edge,gamma_lean,gamma_is_bet,gamma_result,massey_spread_home,massey_edge,massey_lean,massey_is_bet,massey_result,gamma_is_seed_week,models_agree,gamma_agrees_with_ridge,gamma_agrees_with_xgb,gamma_agrees_with_massey
400869520,2016,3,Memphis,Kansas,43,7,False,-20.333333333333332,36,-14.818806566659816,-5.514526766673516,Away,True,Loss,-24.439571,4.1062374,Home,True,Win,,,,,,1.1253919237921446,-21.458725257125476,Away,True,Loss,,False,,,
400869001,2016,3,Georgia Tech,Vanderbilt,38,7,False,-6.833333333333333,31,-17.08669368452753,10.253360351194196,Home,True,Win,-4.7100134,-2.12332,Away,True,Loss,,,,,,-11.440911437134364,4.607578103801031,Home,True,Win,,False,,,
400869441,2016,3,North Carolina,James Madison,56,28,False,-24.5,28,-19.912628488139333,-4.587371511860667,Away,True,Loss,-14.070604,-10.429396,Away,True,Loss,,,,,,-6.049995116865146,-18.450004883134852,Away,True,Loss,,True,,,
400869813,2016,3,Georgia Southern,UL Monroe,23,21,False,-27.0,2,-20.96349499129602,-6.03650500870398,Away,True,Win,-12.647269,-14.352731,Away,True,Win,,,,,,-22.23492283555242,-4.765077164447579,Away,True,Win,,True,,,
400869196,2016,3,Nevada,Buffalo,38,14,True,-10.833333333333334,24,-25.74387892733484,14.910545594001507,Home,True,Win,-20.228786,9.395453,Home,True,Win,,,,,,-1.4926849712969457,-9.340648362036388,Away,True,Loss,,True,,,
400869115,2016,3,Washington,Portland State,41,3,False,-41.5,38,-28.641896089961186,-12.858103910038814,Away,True,Win,-37.77048,-3.729519,Away,True,Win,,,,,,-27.361218788138384,-14.138781211861616,Away,True,Win,,True,,,
400869439,2016,3,Northwestern,Duke,24,13,False,-4.0,11,-6.374364778211861,2.374364778211861,Home,True,Win,8.367408,-12.367408,Away,True,Loss,,,,,,-2.049281816468166,-1.950718183531834,Away,False,Loss,,False,,,
400869523,2016,3,Tulsa,North Carolina A&T,58,21,False,-25.0,37,-16.892103707339807,-8.107896292660193,Away,True,Loss,-24.224537,-0.7754631,Away,False,Loss,,,,,,-14.412036324490852,-10.587963675509148,Away,True,Loss,,True,,,
400869445,2016,3,Wake Forest,Delaware,38,21,False,-24.0,17,-24.677595122780634,0.6775951227806338,Home,False,Loss,-34.276974,10.276974,Home,True,Loss,,,,,,-11.28098909412056,-12.71901090587944,Away,True,Win,,True,,,
400869522,2016,3,SMU,Liberty,29,14,False,-13.5,15,-22.72713045394759,9.227130453947591,Home,True,Win,-26.13431,12.63431,Home,True,Win,,,,,,-11.874438871948968,-1.6255611280510323,Away,False,Loss,,True,,,
