game_id,season,week,home_team,away_team,is_mw_game,model_spread_home,market_spread_home,edge,lean,is_bet,bet_result,clv,home_win_prob,actual_home_win,actual_margin,model_total,market_total,total_edge,total_lean,is_total_bet,total_bet_result,total_clv,actual_total,market_home_ml,market_away_ml,ml_edge,ml_lean,is_ml_bet,ml_bet_result,ml_profit
400869517,2016,3,Cincinnati,Houston,False,3.9292182155321065,7.833333333333333,3.9041151178012266,Home,True,Loss,,0.42325390032266486,0.0,-24,43.440757353260935,63.5,-20.059242646739065,Under,True,Win,,56,,,,,,,
400869361,2016,3,Rice,Baylor,False,15.470697995162233,31.5,16.029302004837767,Home,True,Win,,0.22297734614392473,0.0,-28,52.39601865386294,66.25,-13.853981346137061,Under,True,Win,,48,,,,,,,
400869193,2016,3,Utah State,Arkansas State,False,-25.677774924962204,-8.666666666666666,17.011108258295536,Home,True,Win,,0.8970708549265398,1.0,14,50.80450461732041,55.75,-4.945495382679589,Under,True,Win,,54,,,,,,,
400869109,2016,3,UTSA,Arizona State,False,9.172269748287295,20.666666666666668,11.494396918379373,Home,True,Win,,0.3256779704856455,0.0,-4,51.21515278950553,58.25,-7.034847210494469,Under,True,Loss,,60,,,,,,,
400869656,2016,3,Iowa,North Dakota State,True,-22.71762046508717,-14.5,8.217620465087169,Home,True,Loss,,0.8684730063242939,0.0,-2,60.078298009888925,,,,,,,44,,,,,,,
400869281,2016,3,Bowling Green,Middle Tennessee,False,-6.68938696287181,5.166666666666667,11.856053629538476,Home,True,Loss,,0.6291330432878451,0.0,-20,51.46174965731057,72.75,-21.28825034268943,Under,True,Win,,62,,,,,,,
400869657,2016,3,Wisconsin,Georgia State,False,-42.254551635802855,-33.666666666666664,8.58788496913619,Home,True,Loss,,0.9813152743145346,1.0,6,52.77117065008074,51.0,1.771170650080741,Over,False,,,40,,,,,,,
400869520,2016,3,Memphis,Kansas,False,-14.81880656665978,-20.333333333333332,-5.514526766673551,Away,True,Loss,,0.7673233987261916,1.0,36,66.63306511291752,60.5,6.133065112917521,Over,True,Loss,,50,,,,,,,
400869192,2016,3,Rutgers,New Mexico,True,-9.78875279192223,-5.833333333333333,3.9554194585888967,Home,True,Win,,0.6851861144953499,1.0,9,63.655356537297024,56.5,7.155356537297024,Over,True,Win,,65,,,,,,,
400869519,2016,3,Penn State,Temple,False,-28.881111960185073,-8.0,20.881111960185073,Home,True,Loss,,0.9226103760417744,1.0,7,53.527043294862516,49.75,3.7770432948625157,Over,True,Win,,61,,,,,,,
400869720,2016,3,App State,Miami,False,8.21172751391105,4.0,-4.21172751391105,Away,True,Win,,0.3429014370937502,0.0,-35,54.37319503816799,51.0,3.3731950381679923,Over,True,Win,,55,,,,,,,
400869278,2016,3,Marshall,Akron,False,-33.8752282996016,-16.833333333333332,17.04189496626827,Home,True,Loss,,0.9524304634650721,0.0,-27,54.01414735125962,55.5,-1.4858526487403765,Under,False,,,103,,,,,,,
400868889,2016,3,TCU,Iowa State,False,-19.18897991492474,-24.166666666666668,-4.977686751741928,Away,True,Win,,0.8277626030626433,1.0,21,43.440594403152446,61.0,-17.559405596847554,Under,True,Push,,61,,,,,,,
400869438,2016,3,Clemson,South Carolina State,False,-29.159844098331238,-54.0,-24.840155901668762,Away,True,Loss,,0.9245817881903131,1.0,59,54.24539337102897,,,,,,,59,,,,,,,
400869000,2016,3,Tennessee,Ohio,False,-42.80662013579579,-27.166666666666668,15.639953469129122,Home,True,Loss,,0.982523513688921,1.0,9,51.62803149718385,57.75,-6.121968502816152,Under,True,Win,,47,,,,,,,
400869440,2016,3,Louisville,Florida State,False,10.254641894656867,1.1666666666666667,-9.087975227990201,Away,True,Loss,,0.3067080490758256,1.0,43,51.29421951406996,66.5,-15.205780485930042,Under,True,Loss,,83,,,,,,,
400869001,2016,3,Georgia Tech,Vanderbilt,False,-17.08669368452752,-6.833333333333333,10.253360351194189,Home,True,Win,,0.8000471883289524,1.0,31,51.24242680444007,44.0,7.242426804440072,Over,True,Win,,45,,,,,,,
